Dấu thời gian,Bạn bao nhiêu tuổi?,Hiện tại bạn đang cư trú ở đâu?,Bạn đã sử dụng sữa rửa mặt bao giờ chưa?,Nguyên nhân bạn chưa sử dụng sữa rửa mặt là gì?,Giới tính của bạn là?,1. Bạn sử dụng sữa rửa mặt với mục đích gì?,2. Da của bạn thuộc loại da gì?,3. Bạn thường sử dụng sữa rửa mặt bao nhiêu lần một ngày?,4. Bạn sử dụng sữa rửa mặt khi nào?,5. Bạn thường mua sữa rửa mặt ở đâu?,6. Bạn tiếp cận thông tin về sữa rửa mặt qua đâu?,7. Bạn đang sử dụng sữa rửa mặt chiết xuất từ đâu?,8. Dạng sữa rửa mặt bạn đang sử dụng là gì?,9. Bạn có thích sữa rửa mặt có mùi hương không?,9.1. Bạn yêu thích sữa rửa mặt có hương liệu trái cây nào nhất?,9.2. Bạn yêu thích sửa rửa mặt có hương liệu rau củ nào nhất?,9.3. Bạn yêu thích sửa rửa mặt có hương liệu hoa cỏ nào nhất?,10. Bạn thường mua sản phẩm với dung tích bao nhiêu?,11. Số lượng sản phẩm mua trong một lần của bạn,12. Bạn chấp nhận chi bao nhiêu cho 1 sản phẩm sữa rửa mặt với dung tích 150 ml?,13. Yếu tố quan trọng nhất ảnh hưởng đến việc lựa chọn loại sữa rửa mặt của bạn? ,14. Bạn thường lựa chọn sử dụng sữa rửa mặt thông qua đâu nhất?,15. Bạn hay sử dụng sữa rửa mặt của nước nào? ,16. Bạn thường mua sữa rửa mặt qua kênh online nào?,17. Bạn thường mua sữa rửa mặt qua kênh offline nào?,18. Bạn quan tâm nhất đến những yếu tố nào của nơi bán trực tiếp khi mua sữa rửa mặt? ,19. Bạn quan tâm nhất đến những yếu tố nào của nơi bán online khi mua sữa rửa mặt?,20. Bạn lo ngại điều gì khi sử dụng sữa rửa mặt? ,"21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
b, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Chất lượng]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Thương hiệu]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Giá cả]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Mẫu mã]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Xuất xứ]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Thành phần]","21. Đánh giá MỨC ĐỘ ẢNH HƯỞNG của các yếu tố sau đến quyết định mua hàng của bạn
Thang đo: 1: Rất không ảnh hưởng, 2: Không ảnh hưởng, 3: Hơi không ảnh hưởng, 4: Bình thường, 5: Hơi ảnh hưởng, 6: Ảnh hưởng, 7: Rất ảnh hưởng [Mùi hương]","22. Nếu chúng tôi ra mắt một sản phẩm sữa rửa mặt mới, bạn có sẵn sàng dùng thử hay không?",23. Bạn mong muốn điều gì nhất ở một sản phẩm sữa rửa mặt mới? 
06/02/2023 21:30:37,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da hỗn hợp,2 lần/ngày,"Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Website của hãng, Siêu thị; trung tâm thương mại, Nhà thuốc","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Chiết xuất từ thiên nhiên,Dạng gel,Không,,,,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ các trang web, blog,... về làm đẹp","Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Nhà thuốc","Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái",7.0,4.0,6.0,2.0,6.0,7.0,4.0,Chưa biết,Sản phẩm lành tính với nhiều loại da
06/02/2023 21:33:59,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nam,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da nhạy cảm,1 lần/ngày,Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Chiết xuất từ thiên nhiên,Dạng kem,Có,"Dâu, Đào",Nha đam,"Trà xanh, Hoa cúc",Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Xuất xứ,"Review từ các trang web, blog,... về làm đẹp","Nhật Bản, Hàn Quốc",Các trang mạng xã hội,"Siêu thị, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,Đánh giá từ những người đã mua,"Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém",5.0,3.0,4.0,4.0,5.0,4.0,5.0,Có,Sản phẩm lành tính với nhiều loại da
06/02/2023 21:43:19,Dưới 18 tuổi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/02/2023 21:49:22,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Bạn bè",Chiết xuất từ thiên nhiên,Dạng bọt,Có,"Táo, Nho","Dưa leo, Nha đam","Lavender, Hoa hồng, Trà xanh",Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 200.000 vnđ - 500.000 vnđ/ 150 ml,Thành phần,Review từ người quen,"Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da",7.0,6.0,5.0,6.0,7.0,7.0,6.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
06/02/2023 21:50:24,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nam,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,2 lần/ngày,"Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu",Chiết xuất từ các hoạt chất hóa học,Dạng gel,Có,Việt quất,Rau má,"Hoa hồng, Trà xanh",Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ KOL, beauty blogger, người nổi tiếng","Mỹ, Nhật Bản",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Thái độ nhân viên bán hàng,Đánh giá từ những người đã mua,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng",7.0,5.0,7.0,4.0,4.0,5.0,1.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
06/02/2023 21:53:39,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Da dầu,2 lần/ngày,"Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Chiết xuất từ thiên nhiên,Dạng gel,Có,"Dâu, Cherry, Đào","Thảo mộc, Nha đam, Cà chua","Hoa hồng, Anh đào, Hoa sứ",Trên 150 ml - 300 ml,Từ 3-5 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Xuất xứ,"Review từ KOL, beauty blogger, người nổi tiếng","Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng",7.0,7.0,6.0,1.0,3.0,6.0,4.0,Có,Sản phẩm chuyên sâu với hiệu quả cao
06/02/2023 21:53:39,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng","Truyền thông; quảng cáo, Tự tìm hiểu",Chiết xuất từ các hoạt chất hóa học,Dạng gel,Có,"Mâm xôi, Đào","Nha đam, Cà chua","Anh đào, Trà xanh",Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ các trang web, blog,... về làm đẹp","Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,"Chính sách khuyến mãi, ưu đãi","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da",5.0,4.0,3.0,2.0,1.0,4.0,3.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
06/02/2023 21:56:56,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,Hơn 2 lần/ngày,"Sau khi thức dậy, Trước khi make-up, Trước khi đi ngủ","Cửa hàng của hãng, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Gia đình; người thân, Bạn bè",Chiết xuất từ thiên nhiên,Dạng bọt,Không,,,,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 200.000 vnđ - 500.000 vnđ/ 150 ml,Thành phần,Review từ người quen,"Mỹ, Nhật Bản",Website của hãng,"Siêu thị, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,Đánh giá từ những người đã mua,"Hàng giả; hàng nhái",4.0,4.0,2.0,1.0,4.0,4.0,4.0,Có,Sản phẩm chuyên sâu với hiệu quả cao
06/02/2023 21:58:44,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nam,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,2 lần/ngày,"Sau khi thức dậy, Sau khi về nhà","Website của hãng, Siêu thị; trung tâm thương mại","Gia đình; người thân, Bạn bè",Chiết xuất từ các hoạt chất hóa học,Dạng kem,Có,"Đào, Cam","Nha đam, Rau má",Lavender,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,Review từ người quen,Nhật Bản,Các trang mạng xã hội,"Cửa hàng chính hãng, Siêu thị, Tạp hoá",Uy tín của cửa hàng,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém",7.0,4.0,2.0,4.0,6.0,6.0,2.0,Chưa biết,Sản phẩm lành tính với nhiều loại da
06/02/2023 22:14:52,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da nhạy cảm,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",Chiết xuất từ thiên nhiên,Dạng kem,Không,,,,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 200.000 vnđ - 500.000 vnđ/ 150 ml,Thành phần,"Review trên các kênh social media (Youtube, Tik Tok, Instagram,...)",Hàn Quốc,Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Giá cả,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da",7.0,5.0,7.0,4.0,5.0,7.0,6.0,Chưa biết,Sản phẩm lành tính với nhiều loại da
06/02/2023 22:17:16,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Da dầu,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ",Các cửa hàng mỹ phẩm,Tự tìm hiểu,Chiết xuất từ thiên nhiên,Dạng kem,Có,Dâu,Rau má,Lavender,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 200.000 vnđ - 500.000 vnđ/ 150 ml,Thành phần,Tư vấn từ bác sĩ/chuyên gia về da liễu,Hàn Quốc,Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái",4.0,4.0,2.0,3.0,4.0,4.0,3.0,Có,Sản phẩm chuyên sâu với hiệu quả cao
06/02/2023 22:21:49,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,1 lần/ngày,"Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Cửa hàng của hãng, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Chiết xuất từ các hoạt chất hóa học,Dạng kem,Có,"Dâu, Cherry, Chanh","Thảo mộc, Nha đam, Cà chua","Lavender, Hoa hồng, Trà xanh",50 ml - 150 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Giá cả,"Review từ các trang web, blog,... về làm đẹp","Hàn Quốc, Úc, Pháp","Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng",4.0,3.0,4.0,2.0,4.0,4.0,4.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
06/02/2023 22:24:23,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Da lành tính,1 lần/ngày,Trước khi đi ngủ,Các cửa hàng mỹ phẩm,Đồng nghiệp,Chiết xuất từ thiên nhiên,Dạng kem,Không,,,,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ các trang web, blog,... về làm đẹp",Hàn Quốc,Website của hãng,Các cửa hàng mỹ phẩm,Uy tín của cửa hàng,Đánh giá từ những người đã mua,Sản phẩm không có nguồn gốc rõ ràng,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Có,Sản phẩm được tích hợp nhiều công dụng
06/02/2023 22:24:35,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Da lành tính,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Gia đình; người thân, Tự tìm hiểu, Đồng nghiệp",Chiết xuất từ thiên nhiên,Dạng gel,Không,,,,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ các trang web, blog,... về làm đẹp",Nhật Bản,Các trang mạng xã hội,Các cửa hàng mỹ phẩm,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng",2.0,2.0,2.0,2.0,3.0,3.0,2.0,Có,Sản phẩm chuyên sâu với hiệu quả cao
06/02/2023 22:27:29,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nam,"Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da khô,Ít hơn 1 lần/ngày,Sau khi về nhà,"Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo",Chiết xuất từ thiên nhiên,Dạng gel,Có,Chanh,Dưa leo,Hoa hồng,50 ml - 150 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Xuất xứ,Tư vấn từ bác sĩ/chuyên gia về da liễu,Việt Nam,Sàn thương mại điện tử,Cửa hàng tiện lợi,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)",Đánh giá từ những người đã mua,Sản phẩm không có nguồn gốc rõ ràng,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
07/02/2023 0:44:59,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da hỗn hợp,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Tự tìm hiểu",Chiết xuất từ các hoạt chất hóa học,Dạng gel,Không,,,,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 200.000 vnđ - 500.000 vnđ/ 150 ml,Thành phần,"Review từ KOL, beauty blogger, người nổi tiếng","Mỹ, Hàn Quốc, Pháp",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,Số lượng người theo dõi,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da",6.0,6.0,3.0,3.0,5.0,7.0,5.0,Chưa biết,Sản phẩm lành tính với nhiều loại da
07/02/2023 9:41:56,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Da dầu,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Chiết xuất từ các hoạt chất hóa học,Dạng gel,Có,"Táo, Cam",Thảo mộc,Hoa hồng,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Xuất xứ,"Review từ KOL, beauty blogger, người nổi tiếng","Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị",Uy tín của cửa hàng,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng",5.0,5.0,5.0,5.0,5.0,5.0,4.0,Có,Sản phẩm chuyên sâu với hiệu quả cao
07/02/2023 9:47:15,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Website của hãng, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Chiết xuất từ các hoạt chất hóa học,Dạng gel,Không,,,,Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 200.000 vnđ - 500.000 vnđ/ 150 ml,Thành phần,"Review từ KOL, beauty blogger, người nổi tiếng","Hàn Quốc, Pháp","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Nhà thuốc, Các cửa hàng mỹ phẩm","Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng",7.0,4.0,6.0,4.0,7.0,7.0,1.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
07/02/2023 9:51:10,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Hỗ trợ làm trắng da, Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Giúp loại bỏ lớp trang điểm",Da khô,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Các cửa hàng mỹ phẩm","Chuyên viên, Tự tìm hiểu, Đồng nghiệp",Chiết xuất từ thiên nhiên,Dạng gel,Không,,,,Trên 150 ml - 300 ml,Từ 3-5 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review từ các trang web, blog,... về làm đẹp","Canada, Hàn Quốc, Trung Quốc","Website của hãng, Các trang mạng xã hội","Nhà thuốc, Các cửa hàng mỹ phẩm",Uy tín của cửa hàng,Đánh giá từ những người đã mua,"Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém",6.0,5.0,7.0,7.0,6.0,5.0,6.0,Có,Sản phẩm lành tính với nhiều loại da
07/02/2023 9:55:04,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da nhạy cảm,2 lần/ngày,"Sau khi thức dậy, Trước khi đi ngủ",Các cửa hàng mỹ phẩm,Tự tìm hiểu,Chiết xuất từ thiên nhiên,Dạng kem,Có,Dâu,"Nha đam, Cà chua",Hoa hồng,Trên 500 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,Tư vấn từ bác sĩ/chuyên gia về da liễu,Việt Nam,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)",Đánh giá từ những người đã mua,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
07/02/2023 9:56:02,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nữ,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da hỗn hợp,2 lần/ngày,"Sau khi thức dậy, Sau khi về nhà",Các cửa hàng mỹ phẩm,"Tư vấn từ bác sĩ, Gia đình; người thân, Bạn bè",Chiết xuất từ thiên nhiên,Dạng sữa,Có,"Dâu, Táo, Cam","Dưa leo, Nha đam, Cà chua","Hoa hồng, Trà xanh",50 ml - 150 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,"Review trên các kênh social media (Youtube, Tik Tok, Instagram,...)",Hàn Quốc,Website của hãng,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)","Hàng giả; hàng nhái",4.0,4.0,4.0,4.0,4.0,4.0,4.0,Có,Sản phẩm lành tính với nhiều loại da
07/02/2023 10:04:18,Từ 18 - 25 tuổi,TP.HCM,Đã từng,,Nam,"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Da dầu,1 lần/ngày,Trước khi đi ngủ,"Các cửa hàng mỹ phẩm, Tạp hóa, Cửa hàng tiện lợi","Truyền thông; quảng cáo, Tư vấn từ bác sĩ",Chiết xuất từ thiên nhiên,Dạng kem,Có,"Dâu, Đào","Dưa leo, Nha đam","Lavender, Hoa hồng, Trà xanh",Trên 150 ml - 300 ml,Từ 1-2 sản phẩm/1 lần mua,Từ 100.000 vnđ - 200.000 vnđ/150 ml,Thành phần,Tư vấn từ bác sĩ/chuyên gia về da liễu,Việt Nam,Sàn thương mại điện tử,Siêu thị,"Nguồn thông tin minh bạch (giấy phép kinh doanh, xuất xứ sản phẩm,...)",Đánh giá từ những người đã mua,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da",6.0,6.0,6.0,6.0,6.0,6.0,6.0,Chưa biết,Sản phẩm chuyên sâu với hiệu quả cao
